,average_price_per_area,price,area,bedrooms,bathrooms,guestroom,prefarea,furnishingstatus
0,380.96153846153845,5943000,15600,3,1,0,0,1
1,421.3207547169811,2233000,5300,3,1,0,1,0
2,464.84375,4760000,10240,2,1,0,1,0
3,485.1485148514851,3920000,8080,3,1,0,0,1
4,519.3104953087498,4760000,9166,2,1,0,0,1
5,538.3109619686801,3850000,7152,3,1,0,0,0
6,591.9753086419753,4795000,8100,4,1,0,0,1
7,615.7407407407408,3990000,6480,3,1,0,0,1
8,616.1971830985915,5250000,8520,3,1,0,0,0
9,620.9677419354839,3080000,4960,2,1,0,0,0
10,625.0,5250000,8400,3,1,1,1,0
11,626.3982102908277,7000000,11175,3,1,0,1,0
12,630.0,6615000,10500,3,2,0,1,0
13,663.1578947368421,5040000,7600,4,1,0,0,0
14,663.25,2653000,4000,3,1,0,0,0
15,682.0512820512821,5320000,7800,3,1,0,1,0
16,698.4444444444445,3143000,4500,3,1,0,0,0
17,703.3018867924528,4473000,6360,2,1,0,0,0
18,703.8764208685515,4830000,6862,3,1,0,1,0
19,709.5088819226751,3395000,4785,3,1,1,0,0
20,727.4247491638796,6090000,8372,3,1,0,0,0
21,731.25,4095000,5600,2,1,0,0,1
22,738.0434782608696,4753000,6440,2,1,0,0,1
23,742.4242424242424,9800000,13200,3,1,0,1,0
24,752.5,6020000,8000,3,1,1,1,1
25,753.0454042081949,4760000,6321,3,1,0,0,0
26,761.2574341546305,4480000,5885,2,1,0,0,0
27,763.6363636363636,4200000,5500,3,1,0,0,0
28,777.7777777777778,4900000,6300,3,1,0,0,1
29,780.4054054054054,6930000,8880,3,2,0,0,0
30,781.6666666666666,4690000,6000,2,1,0,0,0
31,789.0909090909091,6510000,8250,3,2,0,0,0
32,794.8717948717949,5425000,6825,3,1,1,1,1
33,796.1711711711712,7070000,8880,2,1,0,0,1
34,802.7522935779816,5250000,6540,4,2,0,0,1
35,805.0,7245000,9000,4,2,1,1,0
36,813.3802816901408,4620000,5680,3,1,1,0,1
37,822.8460793804453,5950000,7231,3,1,1,1,1
38,825.4716981132076,3500000,4240,3,1,0,0,1
39,829.6906523201076,4935000,5948,3,1,0,0,1
40,832.967032967033,2653000,3185,2,1,0,0,0
41,833.3333333333334,4200000,5040,3,1,0,0,0
42,837.7049180327868,5110000,6100,3,1,0,1,1
43,844.8275862068965,4900000,5800,2,1,1,0,1
44,847.5783475783476,5950000,7020,3,1,0,1,1
45,850.4672897196261,3640000,4280,2,1,0,0,1
46,873.8191632928475,6475000,7410,3,1,1,1,0
47,875.0,6300000,7200,3,2,0,0,1
48,879.2270531400966,5460000,6210,4,1,1,0,0
49,885.2525252525253,4382000,4950,4,1,0,0,1
50,886.6666666666666,7980000,9000,4,2,0,0,0
51,886.6666666666666,3990000,4500,3,2,0,0,1
52,887.2377622377622,5075000,5720,2,1,0,1,0
53,890.5555555555555,4007500,4500,3,1,0,0,1
54,891.6234887737478,4130000,4632,4,1,0,0,1
55,895.0819672131148,5460000,6100,3,1,1,1,1
56,902.5157232704403,5740000,6360,3,1,1,1,0
57,903.2258064516129,3360000,3720,2,1,0,0,0
58,904.6153846153846,5880000,6500,3,2,0,0,0
59,907.1566731141199,4690000,5170,3,1,0,0,1
60,913.0434782608695,4200000,4600,3,2,0,0,1
61,926.791277258567,5950000,6420,3,1,0,1,0
62,938.8020833333334,7210000,7680,4,2,1,0,1
63,943.939393939394,6230000,6600,3,2,0,1,0
64,948.8888888888889,4270000,4500,2,1,0,0,0
65,953.4848484848485,6293000,6600,3,2,0,1,0
66,960.0,3360000,3500,4,1,0,0,0
67,962.5,5775000,6000,3,2,0,0,0
68,974.4318181818182,8575000,8800,3,2,0,0,0
69,975.5905511811023,6195000,6350,3,2,1,0,0
70,984.375,6300000,6400,3,1,1,1,1
71,989.655172413793,5740000,5800,3,2,0,0,0
72,990.566037735849,5250000,5300,4,2,0,1,0
73,993.3481152993348,4480000,4510,4,1,0,0,1
74,997.3118279569893,7420000,7440,3,2,1,1,1
75,1003.1152647975076,4830000,4815,2,1,0,1,1
76,1005.7471264367816,3500000,3480,3,1,0,0,0
77,1012.3966942148759,3675000,3630,2,1,0,0,0
78,1023.0769230769232,6650000,6500,3,2,0,1,0
79,1027.2536687631027,3920000,3816,2,1,0,0,0
80,1030.5555555555557,5565000,5400,5,1,1,1,0
81,1034.5911949685535,3290000,3180,4,1,0,0,0
82,1035.8255451713396,6650000,6420,3,2,0,1,0
83,1038.3333333333333,3115000,3000,3,1,0,0,0
84,1054.1176470588234,8960000,8500,3,2,0,0,0
85,1062.962962962963,5740000,5400,4,2,0,0,0
86,1067.8181818181818,5873000,5500,3,1,1,0,0
87,1073.9130434782608,8645000,8050,3,1,1,0,0
88,1084.070796460177,4900000,4520,3,1,0,0,1
89,1090.342679127726,5600000,5136,3,1,1,1,0
90,1096.6666666666667,6580000,6000,3,2,0,0,1
91,1106.132075471698,7035000,6360,4,2,0,1,0
92,1108.3333333333333,6650000,6000,3,2,1,0,0
93,1110.576923076923,4620000,4160,3,1,1,0,0
94,1117.3076923076924,5810000,5200,3,1,0,0,1
95,1123.7458193979933,8400000,7475,3,2,0,0,0
96,1125.8333333333333,6755000,6000,4,2,0,0,0
97,1126.3636363636363,6195000,5500,3,2,1,0,1
98,1130.2752293577983,6160000,5450,4,2,0,1,1
99,1133.0128205128206,7070000,6240,4,2,0,0,0
100,1134.8484848484848,7490000,6600,3,1,0,1,0
101,1138.4722222222222,4098500,3600,3,1,0,1,0
102,1143.3333333333333,6860000,6000,3,1,0,0,0
103,1148.0,5740000,5000,3,1,0,0,1
104,1148.9130434782608,5285000,4600,2,2,0,0,1
105,1154.42,8080940,7000,3,2,0,0,0
106,1158.236994219653,4007500,3460,4,1,0,0,1
107,1158.888888888889,5215000,4500,4,2,0,0,1
108,1163.2947976878613,4025000,3460,3,2,0,0,0
109,1166.6666666666667,6650000,5700,3,1,1,1,0
110,1173.1225296442688,7420000,6325,3,1,0,0,0
111,1182.983682983683,10150000,8580,4,3,0,1,1
112,1187.1345029239767,8120000,6840,5,1,1,0,0
113,1188.2716049382716,7700000,6480,3,2,0,0,0
114,1191.4893617021276,5600000,4700,4,1,1,0,0
115,1196.5811965811965,4900000,4095,3,1,1,0,1
116,1199.7019374068554,3220000,2684,2,1,0,0,0
117,1200.0,8400000,7000,3,1,0,0,1
118,1201.6666666666667,7210000,6000,3,2,1,0,0
119,1202.2900763358778,7875000,6550,3,1,0,1,0
120,1210.4166666666667,5810000,4800,3,1,0,0,0
121,1213.1376659678547,8680000,7155,3,2,1,0,0
122,1213.3333333333333,3640000,3000,2,1,0,0,0
123,1218.5185185185185,9870000,8100,4,1,1,1,0
124,1225.0,7350000,6000,4,2,1,0,0
125,1225.0,7350000,6000,3,2,1,0,1
126,1225.0,7350000,6000,3,1,0,0,0
127,1232.394366197183,5250000,4260,4,1,0,0,0
128,1232.7044025157234,7840000,6360,3,2,0,1,0
129,1250.0,4550000,3640,3,1,0,0,0
130,1254.1666666666667,7525000,6000,3,2,0,0,0
131,1260.0,7560000,6000,4,2,0,0,0
132,1260.0,7560000,6000,3,2,0,0,1
133,1264.7727272727273,5565000,4400,4,1,0,1,1
134,1288.0,6440000,5000,3,1,0,0,1
135,1305.8103975535169,8540000,6540,4,2,1,1,0
136,1316.0,3290000,2500,2,1,0,0,0
137,1318.3333333333333,7910000,6000,4,2,0,0,1
138,1327.0833333333333,7962500,6000,3,1,1,0,0
139,1334.375,6405000,4800,3,2,1,0,0
140,1338.6454183266933,6720000,5020,3,1,0,1,0
141,1353.3333333333333,4060000,3000,4,1,0,0,1
142,1367.1875,12250000,8960,4,4,0,0,0
143,1368.888888888889,6160000,4500,3,1,0,0,0
144,1378.7878787878788,9100000,6600,4,2,1,1,0
145,1379.2834890965732,8855000,6420,3,2,0,1,1
146,1410.5,8463000,6000,3,2,1,1,1
147,1414.6110056925995,4473000,3162,3,1,0,0,0
148,1421.3740458015268,9310000,6550,4,2,0,1,1
149,1422.2824246528953,4200000,2953,3,1,0,0,0
150,1427.1844660194174,7350000,5150,3,2,0,0,1
151,1430.701754385965,4893000,3420,4,2,0,0,1
152,1446.6666666666667,10850000,7500,3,3,0,1,1
153,1497.2222222222222,3773000,2520,5,2,0,0,0
154,1508.7976539589442,5145000,3410,3,1,0,0,1
155,1527.2727272727273,8400000,5500,4,2,0,1,1
156,1536.5853658536585,6300000,4100,3,2,0,0,1
157,1537.7358490566037,11410000,7420,4,1,1,0,0
158,1600.0,3640000,2275,3,1,0,1,1
159,1608.1081081081081,5950000,3700,4,1,1,0,0
160,1628.6666666666667,12215000,7500,4,2,0,1,0
161,1633.3333333333333,4900000,3000,3,1,0,0,1
162,1653.75,6615000,4000,3,2,0,0,1
163,1697.5,6790000,4000,3,2,0,1,1
164,1699.795081967213,8295000,4880,4,2,0,1,0
165,1704.3478260869565,9800000,5750,3,2,1,1,0
166,1733.3333333333333,5460000,3150,3,2,1,0,0
167,1770.0,4956000,2800,3,2,0,0,1
168,1792.4528301886792,13300000,7420,4,2,0,1,0
169,1895.8333333333333,8645000,4560,3,2,1,0,0
170,1932.6086956521742,8890000,4600,3,2,1,0,0
171,1963.218390804598,4270000,2175,3,1,1,0,0
